state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,16000,71,1136000,159000,0.72,818000,1998
AZ,55000,60,3300000,1485000,0.64,2112000,1998
AR,53000,65,3445000,1688000,0.59,2033000,1998
CA,450000,83,37350000,12326000,0.62,23157000,1998
CO,27000,72,1944000,1594000,0.7,1361000,1998
FL,230000,98,22540000,4508000,0.64,14426000,1998
GA,75000,56,4200000,307000,0.69,2898000,1998
HI,8000,118,944000,66000,0.77,727000,1998
ID,120000,50,6.00E+06,2220000,0.65,3900000,1998
IL,9000,71,639000,204000,1.19,760000,1998
IN,9000,92,828000,489000,0.85,704000,1998
IA,50000,78,3900000,2301000,0.7,2730000,1998
KS,16000,46,736000,390000,0.87,640000,1998
KY,3000,50,150000,51000,1.4,210000,1998
LA,41000,111,4551000,865000,0.59,2685000,1998
ME,10000,26,260000,117000,0.69,179000,1998
MD,7000,44,308000,92000,1.1,339000,1998
MI,80000,85,6800000,3672000,0.66,4488000,1998
MN,140000,79,11060000,2765000,0.65,7189000,1998
MS,18000,86,1548000,898000,0.58,898000,1998
MO,23000,66,1518000,455000,0.76,1154000,1998
MT,115000,122,14030000,5472000,0.64,8979000,1998
NE,64000,70,4480000,2240000,0.86,3853000,1998
NV,10000,46,460000,175000,1.65,759000,1998
NJ,11000,49,539000,167000,0.76,410000,1998
NM,14000,55,770000,470000,0.76,585000,1998
NY,65000,80,5200000,2444000,0.7,3640000,1998
NC,8000,59,472000,151000,1.38,651000,1998
ND,230000,128,29440000,8832000,0.63,18547000,1998
OH,18000,78,1404000,702000,0.83,1165000,1998
OK,4000,51,204000,63000,1.24,253000,1998
OR,50000,45,2250000,1620000,0.9,2025000,1998
PA,26000,66,1716000,789000,0.8,1373000,1998
SD,225000,95,21375000,10901000,0.64,13680000,1998
TN,7000,64,448000,121000,1.32,591000,1998
TX,91000,77,7007000,1612000,0.62,4344000,1998
UT,30000,58,1740000,557000,0.65,1131000,1998
VT,6000,64,384000,207000,0.85,326000,1998
VA,8000,37,296000,86000,1.33,394000,1998
WA,58000,51,2958000,1361000,0.64,1893000,1998
WV,6000,55,330000,155000,1.14,376000,1998
WI,89000,91,8099000,5264000,0.72,5831000,1998
WY,46000,60,2760000,524000,0.68,1877000,1998
